wordId,docId_list
101014,"38,26,2,9"
101015,31
101016,26
101017,12
101018,"11,44"
101019,33
10102,2
101020,12
101021,0
101022,"43,41,6,18,12,3"
101023,"28,43,16,31,1,32,19,4,30,38,41,26,23,6,17,8,22,10,24,35,15,0,44,29,34,39,12,13,3,2"
101024,11
101025,"0,12"
101026,"0,12"
101027,0
101028,0
101029,"16,19,40,41,23,10,44,29,12,2"
10103,"17,0,12,3"
101030,0
101031,0
101032,0
101033,12
101034,19
101035,36
101036,"43,16,1,19,38,41,23,17,14,10,24,15,0,44,39,12,2"
101037,"40,41,34"
101038,"43,19,41,23,24,15,0,44,3"
101039,0
10104,"41,20,12"
101040,0
101041,"31,33,34"
101042,9
101043,"43,2"
101044,"43,20,2"
101045,3
101046,1
101047,1
101048,18
101049,12
10105,42
101050,1
101051,18
101052,7
101053,8
101054,23
101055,"28,43,16,1,19,40,4,30,41,26,11,6,17,24,20,15,0,44,7,39,12,3,2,9"
101056,44
101057,23
101058,23
101059,18
10106,11
101060,"43,32,19,40,4,41,14,15,44,33,12,2,9"
101061,4
101062,43
101063,"43,16,41,26,22,35,15,12"
101064,"28,17"
101065,17
101066,"0,12"
101067,"43,16,31,1,32,4,41,26,11,23,6,17,18,24,0,34,12,2,9"
101068,28
101069,"43,16,31,1,32,19,40,4,30,41,26,11,23,6,18,24,35,20,15,44,36,33,7,34,21,12,13,3,2"
10107,"1,19,17,20,0,33,7,12,3,9"
101070,2
101071,26
101072,13
101073,"16,1,0"
101074,"43,16,23,33,12"
101075,43
101076,36
101077,23
101078,12
101079,34
10108,19
101080,"28,43,16,1,4,41,26,11,17,24,35,15,44,3,2,9"
101081,"28,43,16,31,37,1,32,19,5,40,4,30,41,26,11,23,17,14,18,8,24,20,15,0,44,36,33,25,7,34,39,12,13,3,2"
101082,41
101083,11
101084,11
101085,2
101086,43
101087,19
101088,"17,14,2"
101089,"1,26,12"
10109,3
101090,2
101091,2
101092,"28,43,31,1,4,30,41,26,11,23,6,17,20,44,36,33,7,34,12,3,2,9"
101093,"11,17,12"
101094,"1,17,3"
101095,"26,17,33"
101096,44
101097,12
101098,28
101099,19
1011,"1,21,3"
10110,"33,7,3"
101100,12
101101,3
101102,36
101103,"36,34"
101104,"36,12"
101105,"43,19,0"
101106,"12,9"
101107,"16,2,9"
101108,0
101109,"19,40,11,6,21"
10111,34
101110,44
101111,"6,0,2,9"
101112,"43,41,23,17,18,8,15,2"
101113,"15,3"
101114,26
101115,35
101116,"43,16,31,37,1,32,19,5,40,4,30,38,41,26,11,23,6,17,14,18,8,22,27,10,24,35,42,20,15,0,44,36,33,25,7,34,39,21,12,13,3,2,9"
101117,43
101118,"0,12"
101119,34
10112,0
101120,32
101121,0
101122,0
101123,"31,32,4,41,11,23,6,14,8,22,27,15,44,25,12,3,2,9"
101124,0
101125,12
101126,"40,41,15,44,34,12,2"
101127,15
101128,26
101129,"43,16,23,2"
10113,"31,19,4,18,34"
101130,"19,0"
101131,24
101132,21
101133,26
101134,15
101135,"1,19,11,35,44,21,12"
101136,36
101137,"28,43,31,1,40,4,30,41,26,23,6,17,18,27,35,20,15,44,34,12,3,2,9"
101138,23
101139,31
10114,19
101140,43
101141,3
101142,"28,43,31,30,41,26,11,6,27,35,15,0,44,34,3,9"
101143,34
101144,9
101145,34
101146,2
101147,2
101148,0
101149,31
10115,3
101150,18
101151,36
101152,5
101153,28
101154,5
101155,"16,37,5,30,26,11,23,17,8,20,44,34,12,3,2,9"
101156,2
101157,34
101158,"32,11,3,9"
101159,18
10116,0
101160,"28,19,5,26,11,23,6,18,15,0,44,34,2,9"
101161,13
101162,0
101163,23
101164,"43,40,4,41,26,11,24,20,0,36,7,34,39,12,13,3,2"
101165,"23,2"
101166,18
101167,18
101168,"11,17,0"
101169,"1,11"
10117,"32,4,44,33,34"
101170,"28,43,32,41,23,18,8,42,20,0,7,12,3,9"
101171,23
101172,"43,16,1,32,19,30,6,17,0,44,33,29,34,3,2"
101173,"43,19,15,0,3,2"
101174,"37,1,5,41,26,23,8,0,33,29,7,12,3,2"
101175,"16,1,5,41,26,11,23,7,34,3"
101176,12
101177,"31,1,30,41,26,8,22,15,0,25,7,34,12,3,2,9"
101178,"31,1,4,41,8,0,7,34,39,12,3"
101179,30
10118,23
101180,"0,12"
101181,"19,27,15,0,3"
101182,0
101183,0
101184,"22,0"
101185,14
101186,36
101187,18
101188,"43,31,1,32,5,40,4,30,41,26,11,23,6,14,10,24,35,33,25,34,12,3,2,9"
101189,"4,33"
10119,33
101190,"0,12"
101191,34
101192,"28,34,2,9"
101193,41
101194,"1,20,3"
101195,"1,3"
101196,3
101197,21
101198,"1,3"
101199,"17,14"
